Funcion;archivo;peso;memoria ocupada en bytes
Codificacion huffman;cancion.txt;2344;168,649 
Descodificacion huffman;cancion.txt;2344;300,232 
Compresion lz;cancion.txt;2344;30,860,989 
Descompresion lz;cancion.txt;2344;98,752 
Codificacion huffman;mio_cid.txt;208571;3,049,505 
Descodificacion huffman;mio_cid.txt;208571;5,122,641 
Compresion lz;mio_cid.txt;208571;2,115,644,715 
Descompresion lz;mio_cid.txt;208571;582,598 
Codificacion huffman;shakespeare.txt;1433252;22,945,257 
Descodificacion huffman;shakespeare.txt;1433252;35,183,906 
Compresion lz;shakespeare.txt;1433252;13,060,227,238 
Descompresion lz;shakespeare.txt;1433252;4,023,241 
Codificacion huffman;smash_wikipedia.txt;7243;276,466 
Descodificacion huffman;smash_wikipedia.txt;7243;789,763 
Compresion lz;smash_wikipedia.txt;7243;102,383,862 
Descompresion lz;smash_wikipedia.txt;7243;106,433 
Codificacion huffman;texto.txt;21;118,608 
Descodificacion huffman;texto.txt;21;123,215 
Compresion lz;texto.txt;21;365,542 
Descompresion lz;texto.txt;21;91,125 
Codificacion huffman;texto_1mb.txt;1009957;19,998,487 
Descodificacion huffman;texto_1mb.txt;1009957;30,461,197 
Compresion lz;texto_1mb.txt;1009957;7,466,429,610 
Descompresion lz;texto_1mb.txt;1009957;4,023,241 
